project,street,postal,year,typeOfSale,propertyType,price_psm,lat,lon
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,35333.333333333336,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28750.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28333.333333333332,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,36073.170731707316,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29671.23076923077,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,32000.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30363.636363636364,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28030.303030303032,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29029.41176470588,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28750.909090909092,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,31060.60606060606,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26382.716049382718,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30046.153846153848,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30953.846153846152,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,25984.848484848484,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28703.703703703704,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30493.506493506495,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30493.506493506495,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27629.62962962963,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30103.896103896102,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,2,Apartment,31744.18604651163,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29200.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27086.41975308642,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,24641.975308641977,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29411.764705882353,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30000.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30363.636363636364,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27629.62962962963,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27272.727272727272,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,25590.909090909092,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29779.41176470588,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27629.62962962963,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30623.376623376622,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30738.46153846154,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,28308.823529411766,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26716.04938271605,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,35560.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29455.882352941175,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,2,Apartment,27756.09756097561,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,26590.909090909092,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27916.666666666668,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30738.46153846154,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,29588.235294117647,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26148.14814814815,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27272.727272727272,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27629.62962962963,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30400.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30738.46153846154,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27813.333333333332,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,26757.575757575756,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,25606.060606060608,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,36000.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30493.506493506495,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29895.384615384617,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,35952.380952380954,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,27382.716049382718,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,29342.352941176472,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30454.545454545456,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27870.0,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30170.933333333334,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30103.896103896102,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2023,1,Apartment,30046.153846153848,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,28911.764705882353,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27132.352941176472,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,27651.515151515152,1.273862943505204,103.8437104845058
ONE BERNAM,BERNAM STREET,,2024,1,Apartment,30506.666666666668,1.273862943505204,103.8437104845058
MENDON SPRING,PASIR PANJANG ROAD,,2024,3,Apartment,13775.510204081633,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2022,3,Apartment,12727.272727272728,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2023,3,Apartment,13142.857142857143,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2022,3,Apartment,13040.816326530612,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2022,3,Apartment,13142.857142857143,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2022,3,Apartment,13010.10101010101,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2022,3,Apartment,13040.816326530612,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2024,3,Apartment,13131.31313131313,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2024,3,Apartment,13636.363636363636,1.278668453296768,103.7877670871552
MENDON SPRING,PASIR PANJANG ROAD,,2024,3,Apartment,13775.510204081633,1.278668453296768,103.7877670871552
BIJOU,JALAN MAT JAMBOL,,2022,3,Apartment,19607.843137254902,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2022,3,Apartment,22575.223880597016,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2022,3,Apartment,23827.657142857144,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2023,3,Apartment,23113.20754716981,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2022,3,Apartment,24381.73611111111,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2022,3,Apartment,23181.333333333332,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2023,3,Apartment,20196.07843137255,1.276853863793598,103.7917421717843
BIJOU,JALAN MAT JAMBOL,,2024,3,Apartment,20754.716981132075,1.276853863793598,103.7917421717843
WESTPEAK TERRACE,WEST COAST WALK,,2022,3,Terrace,19419.86234021632,1.309056577167957,103.7613022551828
BAROSSA GARDENS,PASIR PANJANG ROAD,,2022,3,Strata Terrace,14565.217391304348,1.28075254338412,103.7839875601815
BAROSSA GARDENS,PASIR PANJANG ROAD,,2022,3,Strata Terrace,14361.702127659575,1.28075254338412,103.7839875601815
BAROSSA GARDENS,PASIR PANJANG ROAD,,2024,3,Strata Terrace,15380.434782608696,1.28075254338412,103.7839875601815
PARC RIVIERA,WEST COAST VALE,,2024,3,Condominium,19069.767441860466,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16976.74418604651,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16071.42857142857,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15441.176470588236,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16428.571428571428,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15521.739130434782,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15517.241379310344,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15500.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16035.714285714286,1.320817692384934,103.7526673092539
