OBJECTID,BHD
2555,3.8636
2556,2.3236
2557,0.0
2560,1.8358
2561,2.0504
2562,5.5672
2563,0.9662
2564,4.566
2566,6.9125
2567,14.0086
2569,2.1344
2570,30.9679
2571,2.6439
2572,5.5529
2573,6.0554
2574,6.0339
2575,3.559
2576,3.7293
2577,0.0
2578,12.8404
2579,38.2944
2580,24.3748
2581,0.0
2582,22.0161
2584,11.0306
2585,3.9449
2586,1.5322
2588,20.8896
2589,5.2017
2591,10.8853
2592,34.4266
2593,4.4896
2594,6.4137
2595,12.8841
2596,3.0789
2597,8.153
2598,2.3822
2599,12.08
2602,6.289
2603,2.0878
2604,10.509
2606,10.5292
2607,5.2349
2608,2.4501
2609,2.3095
2610,0.0
2611,2.4
2612,0.0
2613,4.947
2614,1.0198
2615,6.0156
2616,9.7859
2619,12.5
2620,11.1887
2621,0.0
2622,32.3585
2623,7.8929
2624,27.7992
2625,0.0
2626,2.0272
2627,10.3588
2628,2.7689
2629,0.0
2630,0.4479
2631,1.2505
2632,6.838
2633,0.0
2634,0.0
2635,0.0
2636,0.0
2637,3.6047
2638,15.5521
2639,1.2402
2640,0.0
2641,0.0
2642,4.0074
2645,11.8004
2646,0.6573
2647,2.9439
2648,0.0
2649,1.8649
2652,0.0
2653,17.3882
2654,3.6507
2655,0.0
2656,1.5765
2657,9.5256
2658,12.9414
2659,16.8078
2660,12.2318
2661,0.0
2662,0.7399
2663,1.479
2667,0.0
2668,1.2472
2669,9.5902
2670,0.0
2671,6.9457
2672,0.6849
2674,0.0
2676,5.743
2677,0.0
2678,29.4254
2679,2.4426
2680,11.0
2681,8.544
2682,6.4031
2683,2.7258
2684,6.9453
2685,16.135
2686,7.2731
2688,0.0
2689,4.4914
2690,3.5551
2691,12.8149
2692,7.9512
2693,2.9453
2694,13.1013
2695,9.7411
2696,12.8587
2697,0.0
2698,0.0
2699,6.8931
2700,1.9203
2701,7.8746
2702,13.0643
2703,1.5011
2704,8.9346
2705,3.7353
2706,6.8909
2707,13.1122
2708,8.3799
2710,11.5844
2712,7.1176
2714,15.2727
2715,4.2532
2716,3.3704
2718,14.002
2719,44.2838
2720,5.4103
2721,4.7692
2723,7.7383
2724,3.4564
2725,4.954
2726,2.6173
2727,0.0
2728,11.1808
2729,30.6987
2730,4.1641
2731,14.9537
2732,17.0072
2733,10.1783
2734,6.414
2735,0.0
2736,11.8325
2738,31.8448
2739,0.0
2741,0.0
2742,9.4894
2743,3.2658
2744,0.4714
2745,3.9347
2746,14.49
2747,0.0
2748,1.0
2749,5.0535
2751,2.3359
2752,7.6591
2753,5.9539
2754,19.1377
2755,0.0
2756,3.1972
2757,5.8523
2758,9.4242
2759,3.2299
2760,2.6655
2761,3.7786
2762,3.1435
2763,15.3033
2766,2.5626
2767,4.893
2768,2.9998
2769,9.4361
2770,0.0
2771,5.6424
2772,7.1145
2773,53.5401
2774,27.023
2775,5.5145
2776,0.0
2777,0.0
2779,0.0
2780,0.0
2781,4.0
2782,2.3623
2783,9.1955
2784,12.7957
2786,13.9835
2787,7.0187
2788,8.1983
2789,12.85
2790,1.4142
2791,1.6
2792,3.5457
2793,3.3766
2794,4.7164
2796,0.0
2797,0.0
2799,3.3487
2800,4.4969
2801,3.846
2802,17.8395
2803,2.9475
2804,3.8066
2805,5.3889
2807,4.9719
2808,12.0049
2809,3.9227
2810,0.0
2812,15.3239
2813,0.0
2814,4.0138
2816,0.0
2817,13.0322
2818,2.3275
2819,0.0
2821,1.0
2823,3.483
2824,0.0
2825,17.3106
2826,0.0
2827,13.2676
2828,6.1941
2829,0.0
2830,20.3027
2831,8.1536
2832,4.1667
2834,2.6713
2836,2.4367
2837,14.9034
2838,3.1942
2839,14.0712
2841,0.0
2842,0.866
2843,30.7001
2844,12.9486
2846,24.0527
2847,18.3744
2848,0.0
2849,2.8719
2850,3.8077
2851,3.706
2852,3.2519
2853,2.0999
2855,5.0155
2856,0.0
2857,11.9458
2858,2.0865
2861,10.9458
2862,0.0
2863,7.2061
2864,5.0361
2865,0.0
2866,11.7789
2867,19.8824
2868,8.2743
2870,4.5245
2871,6.4517
2872,2.6601
2873,1.5312
2874,1.0
2875,9.5664
2876,10.7507
2877,19.5078
2878,0.0
2880,0.0
2882,2.3228
2883,1.8127
2884,0.8
2885,6.6837
2886,0.5
2888,18.169
2889,1.5
2890,7.1153
2891,5.2013
2892,14.6688
2893,0.0
2894,3.4711
2895,2.7726
2896,5.02
2897,3.3479
2898,10.3441
2899,2.4221
2900,2.6813
2901,0.0
2902,32.7874
2903,17.5878
2904,0.0
2905,4.3615
2906,3.2057
2907,2.6382
2908,12.3056
2910,9.8016
2911,5.7507
2912,8.3153
2913,16.4858
2914,4.5321
2915,13.5793
2916,0.0
2917,9.1562
2918,16.9943
2919,3.4904
2920,2.2189
2921,1.6317
2922,0.0
2923,26.2731
2924,11.022
2925,1.8856
2926,43.3755
2927,4.5167
2929,9.4511
2930,9.3175
2932,3.9407
2933,30.6105
2934,7.1478
2935,0.0
2936,8.0416
2937,0.0
2938,2.0105
2939,14.4345
2940,9.4042
2941,0.0
2942,1.5348
2943,0.0
2945,0.0
2946,39.9054
2947,35.1649
2948,5.0775
2949,1.0
2952,0.9798
2953,3.8586
2955,5.3897
2956,26.0459
2957,2.3953
2958,26.3127
2959,36.9643
2960,27.2798
2962,1.8856
2963,3.9467
2964,7.0102
2965,1.7123
2966,2.0138
2967,15.0867
2968,59.0226
2969,0.4899
2970,1.1874
2971,0.0
2972,1.0247
2973,1.0
2974,2.313
2976,1.3649
2977,12.6748
2978,10.6881
2979,2.3853
2980,3.4731
2981,2.3324
2982,0.0
2984,9.5084
2985,2.4495
2986,0.0
2987,2.5874
2988,0.9428
2989,10.1364
2990,2.5973
2991,0.0
2992,3.6712
2994,0.4714
2995,7.1275
2996,0.0
2998,10.5
2999,1.7261
3000,7.0929
3001,0.0
3002,0.0
3003,6.8441
3004,18.0322
3005,5.1122
3007,0.0
3008,0.0
3009,0.0
3010,0.0
3011,0.0
3013,1.8999
3015,3.3578
3016,4.0136
3017,0.4714
3018,2.1946
3019,13.7542
3020,14.4843
3021,0.0
3022,0.866
3024,14.3586
3026,27.9082
3027,12.5971
3029,4.9712
3030,2.4
3031,14.8779
3032,32.9176
3033,15.7767
3034,13.7273
3035,9.105
3037,0.0
3038,25.1943
3041,4.9295
3042,0.0
3043,15.6404
3044,0.0
3046,5.6243
3047,4.657
3048,0.0
3049,22.4235
3050,7.7151
3052,10.3016
3053,3.6619
3054,1.9929
3055,10.0055
3056,4.6188
3057,3.5
3058,4.2999
3059,0.0
3060,4.5625
3061,15.9575
3062,8.8751
3064,4.1533
3066,13.7999
3067,3.6055
3069,0.0
3070,10.4293
3071,6.8372
3072,20.3084
3073,23.3982
3074,2.0
3075,7.2169
3076,8.4475
3077,23.5385
3080,14.7565
3081,10.5143
3082,2.536
3083,1.7031
3084,0.0
3085,4.0627
3086,24.4682
3087,6.0914
3088,4.6577
3089,2.3154
3090,0.0
3091,14.1636
3092,4.4116
