OBJECTID,ECSI,SEVI
1267,0.315097,0.096885
1268,0.175369,0.302059
1269,0.192376,0.411519
1270,0.422988,0.112151
1271,0.397554,0.059054
1272,0.312852,0.30514
1273,0.390656,0.468469
1274,0.323498,0.404352
1276,0.323081,0.086893
1277,0.395645,0.413739
1279,0.25263,0.417612
1280,0.373576,0.440576
1281,0.419397,0.30693
1282,0.344407,0.440569
1283,0.385502,0.127713
1284,0.28102,0.408455
1285,0.360573,0.160446
1287,0.331755,0.339621
1288,0.264302,0.14372
1289,0.380012,0.474408
1292,0.387472,0.563463
1293,0.411866,0.43226
1294,0.126865,0.029096
1295,0.159902,0.38312
1297,0.339858,0.462804
1298,0.413809,0.437025
1299,0.307718,0.450262
1300,0.101802,0.178866
1303,0.161863,0.32242
1304,0.302439,0.304677
1305,0.41986,0.362868
1307,0.345528,0.499469
1308,0.346989,0.482678
1309,0.310966,0.136532
1310,0.413083,0.393303
1311,0.319393,0.46752
1312,0.318742,0.773159
1313,0.43592,0.593814
1314,0.159324,0.363132
1315,0.440484,0.662082
1316,0.429528,0.343009
1317,0.095545,0.233868
1318,0.353424,0.158794
1320,0.333018,0.083902
1321,0.1247,0.054842
1322,0.377486,0.2816
1323,0.355749,0.396544
1324,0.153841,0.098114
1325,0.451089,0.484936
1326,0.374415,0.291708
