OBJECTID,LSI,LPI,MENN,SHDI
82,1.9523809523809523,58.73015873015873,26.30275543629521,0.9963422511262883
84,1.9523809523809523,61.678004535147394,30.572309391799124,0.9857022066726899
85,1.391304347826087,100.0,0.0,0.6900666586707636
86,1.7857142857142858,49.65986394557823,14.291496974723703,0.46922034844159877
87,1.4047619047619047,76.41723356009071,40.0,0.5164694275727277
88,1.1547619047619047,96.14512471655328,0.0,0.14413487348121984
89,1.9047619047619047,36.961451247165535,20.64170447205798,0.5762696051383255
90,2.158536585365854,32.21153846153846,10.0,1.26033466133139
91,2.357142857142857,42.28971962616822,59.66563145999496,1.1061922555020487
93,2.4285714285714284,39.682539682539684,34.250417480324636,1.3082494865232768
94,2.0357142857142856,73.01587301587301,10.0,0.3237731297571971
95,2.3095238095238093,37.188208616780045,25.11678238911382,0.5287101190234743
96,1.5,85.71428571428571,10.0,0.19499492707291877
97,1.75,53.96825396825397,0.0,1.1325479007265187
98,1.9047619047619047,71.65532879818593,21.56832430149404,0.6869974658794631
99,2.7023809523809526,23.80952380952381,10.0,0.9906971816486841
100,2.1547619047619047,48.29931972789116,80.0,1.148004445726024
102,1.74,70.3225806451613,10.0,0.5927486245423401
104,1.3611111111111112,92.21183800623054,0.0,0.25792891585894573
105,2.0476190476190474,39.002267573696145,0.0,1.1750630610150767
106,2.107142857142857,30.158730158730158,10.0,0.9052341966207322
107,2.6707317073170733,57.142857142857146,22.5383235691653,0.761338501354117
108,1.869047619047619,58.73015873015873,18.95346881172206,0.6900666586707636
109,1.869047619047619,64.85260770975057,43.2468243180806,0.602686453589074
111,1.119047619047619,96.59863945578232,0.0,0.1339135490837782
112,2.3333333333333335,44.874715261959,37.047098833619685,1.215494877674964
113,1.2619047619047619,91.83673469387755,0.0,0.30030581797308586
114,2.5833333333333335,31.292517006802722,20.705711628227043,1.0250331305985396
115,1.5238095238095237,56.235827664399096,0.0,0.9862222218489963
118,1.7023809523809523,69.84126984126983,18.284271247461902,0.6123697502001281
119,1.9285714285714286,60.997732426303855,46.62501662744945,0.8328977005561677
120,1.869047619047619,58.73015873015873,18.95346881172206,0.6900666586707636
121,1.6666666666666667,53.28798185941043,72.70875598159742,0.6429124396658009
